Country,1970,1980,1990,2000,2010,2020
Afghanistan,600000,640000,660000,685600,1288800,1372400
Albania,216900,349200,525900,408700,524500,677400
Algeria,1380000,2500000,7400000,11000000,12600000,13728000
Angola,430000,540000,610000,680000,1711900,4730600
Antigua and Barbuda,5000,6600,9000,11000,15000,16100
Argentina,3250000,6200000,6700000,10900000,9800000,11846300
Armenia,,,,410000,391000,439600
Australia,2700000,4674900,5995600,8492800,8302400,10089400
Austria,1154300,1449600,1414500,1379800,1565000,
Azerbaijan,,,,1420000,2115000,3017600
The Bahamas,62000,115000,190000,235000,300000,320500
Bahrain,11000,35000,57000,49000,53000,990700
Bangladesh,6618600,5209500,9110300,13270000,22803500,29660200
Barbados,34000,170000,290000,346000,360000,425800
Belarus,,,,2640000,3200000,4587500
Belgium,3470900,2833500,3280000,3900000,3437500,
Belize,25000,39000,110000,95000,153000,167000
Benin,640000,1105600,957900,1175800,1655000,2269000
Bhutan,9000,14800,21900,23100,34900,138400
Bolivia (Plurinational State of),1020000,1785800,2385400,7765900,19540800,23556600
Bosnia and Herzegovina,,,,940000,2103000,1665800
Botswana,43000,83300,212600,350000,176100,78000
Brazil,20000000,44132100,54623500,84274100,123891300,147936300
Brunei,49000,100000,256500,961800,1491000,1943700
Bulgaria,2732900,3916400,3503300,1330000,1600200,
Burkina Faso,1042000,1104100,1715800,2248400,3900000,3984700
Burundi,210000,310000,440000,410000,172000,256900
Cabo Verde,5300,25000,50400,48000,61800,100000
Cambodia,390000,244200,816300,1524900,1744800,1247200
Cameroon,850000,800000,1760000,2200000,4500000,5542500
Canada,9499500,9351100,11100000,15800000,16500000,17171800
Central African Republic,107000,154900,277300,421100,637600,728700
Chad,290000,320000,400000,490000,555000,617100
Chile,1450000,2600000,1935800,3840800,4747900,11452300
China,62000000,87500000,200000000,350000000,520000000,474808000
Colombia,1670000,3100000,5300000,10500000,15800000,20160100
Comoros,22500,28000,39200,49000,55000,54500
"Congo, Democratic Republic of the",57500,110000,160000,190000,260000,297700
Costa Rica,392300,550000,950000,1713500,2390000,2449200
Croatia,,,,704600,504100,1250800
Cuba,1352600,2488600,2790400,2834600,3095000,3024500
Cyprus,341600,220000,247500,360000,298100,
Czechia,,,,2953800,2404200,
Côte d'Ivoire,560000,1700000,2410000,2917500,4505200,8437500
Denmark,1784700,1510000,1549800,2098200,1808400,
"Congo, Democratic Republic of the",900000,1350000,2749000,2155900,2006700,1866800
Djibouti,,,,,,
Dominica,7900,10800,13300,19000,19000,20000
Dominican Republic,880000,2070000,3280000,4600000,17843300,17969400
Timor-Leste,65000,68000,76600,100000,70200,118500
Ecuador,613900,3263400,5120500,13005000,18293000,15956800
Egypt,2454100,2759700,3720800,8900000,10378900,16703900
El Salvador,216100,506400,495200,990000,1500000,1752200
Equatorial Guinea,9000,13000,23300,31000,34000,37400
Eritrea,,,,120000,125000,118400
Estonia,,,,241400,176900,205500
Ethiopia,4720000,5140000,5780000,2854300,4928700,5699300
Fiji,40000,120000,260000,400000,470000,547900
Finland,855300,937600,585800,791800,461600,850700
France,16475600,17629000,19416600,21418700,23152700,24201500
Gabon,33200,160000,220000,320000,310000,324400
Georgia,,,,800000,619000,929800
Germany,13887900,13637700,12127000,10765900,11411300,
Ghana,1082300,1150000,968600,2047200,4775200,9545500
Greece,2249400,2944000,2757800,3028900,2784100,
Grenada,22000,27000,26000,15000,27000,27200
Guatemala,956000,1400000,1460000,3090000,3300000,3599400
Guinea,380000,610000,765100,1185500,2123100,3407400
Guinea-Bissau,28000,42000,80000,130000,159600,218000
Guyana,645000,940000,205000,1050000,2140000,3029000
Haiti,360000,500000,500000,550000,560000,586300
Honduras,290000,480800,1000000,1730000,4331800,4760100
Hungary,5812100,6126900,5282100,2589000,3212800,3087400
Iceland,13600,39400,50600,21000,21800,22200
India,12700000,18680000,26800000,37400000,66330000,79103200
Indonesia,6335800,14925000,57116300,85949700,134962600,356007900
Iran (Islamic Republic of),5400000,9000000,16000000,25000000,88000000,100921400
Iraq,1186100,2700000,8000000,2300000,3400000,7853400
Ireland,788700,856700,818700,1272500,1380000,
Israel,1000000,2665000,2135000,2753300,4259900,5114000
Italy,11200000,13970000,14903400,10000000,13000000,
Jamaica,312300,500000,780000,1170000,1350000,1418700
Japan,22504500,28466000,33785700,29579200,28600000,31965100
Jordan,1063900,1400000,1300000,2350000,2900000,2899300
Kazakhstan,,,,1788000,3096000,4166800
Kenya,1187200,1640000,2522800,2629100,3039800,5716200
Kuwait,450000,900000,2246300,2631500,3055900,5545600
Kyrgyzstan,,,,266000,442200,467400
Lao People's Democratic Republic,1100000,462100,788400,1309500,2510500,4662400
Latvia,,,,323700,482900,
Lebanon,595000,2324300,2300000,3100000,4900000,6804700
Lesotho,84100,73000,100000,100000,50200,38000
Liberia,165000,240000,380000,400000,680000,871300
Libya,125500,550000,1650000,2480000,3300000,3654800
Lithuania,,,,620900,902500,
Luxembourg,,,,7200,9000,
Madagascar,1235300,1129500,1338800,2154000,2650000,4131800
Malawi,730000,860000,1150000,1470000,1600000,1881300
Malaysia,3700000,5080000,5700000,12359700,21722800,29558700
Mali,1400000,1200000,2200000,2500000,3675000,5209800
Malta,98900,109500,85000,82000,97000,
Mauritania,250000,310000,380000,410000,430000,473300
Mauritius,49000,200000,440000,770000,1420000,1648100
Mexico,14030000,17813400,23405500,36696400,50625600,59159600
"Micronesia, Federated States of",,,,18500,18500,19100
Mongolia,10000,30000,37000,8900,42600,98500
Montenegro,,,,,50600,76700
Morocco,1600000,2400000,7300000,13500000,17000000,20769600
Mozambique,1392400,1700000,2200000,2358700,2392200,2774600
Myanmar,1443500,2240700,2332300,4475500,15640700,34865800
Namibia,70000,120000,170000,360000,510000,438100
Nepal,480000,570000,1311300,1862000,2576000,8259900
Netherlands,5620900,8115500,9276500,10401500,10124800,10186300
New Zealand,500000,642400,900000,1300000,1852500,2484900
Nicaragua,299800,470000,388000,1340000,1900000,2501500
Niger,776100,883100,1004800,1143400,1710100,2069600
Nigeria,5244000,7976000,12609000,11320000,19231300,16612500
Macedonia,,,,335000,199500,164300
Norway,371000,357900,376300,869500,1185400,1641600
Oman,47000,46200,250000,340000,439000,482900
Pakistan,1680000,4520000,7900000,15000000,32100000,144300000
Panama,292900,479700,691700,1445100,1726300,2558600
Papua New Guinea,89500,160000,290000,370000,400000,458500
Paraguay,621000,1200000,1704700,1519800,1637600,2358300
Peru,2202200,3995000,6220400,9261000,13077900,17105900
Philippines,5699900,5276100,8230000,11518700,15898400,17826500
Poland,7497100,7929200,6275500,4827400,15327800,18247300
Portugal,1360000,1900000,2000000,1113100,1160500,
Qatar,6000,57500,263200,420900,730000,122800
"Korea, Republic of",2590300,4013000,7446300,10254700,14920000,17852800
"Moldova, Republic of",,,,1253500,2234000,4091000
Romania,4617200,8751700,11396800,6914300,8384300,
Russian Federation,,,0,34033400,39053400,49696400
Rwanda,51100,105200,122600,127800,353800,563300
Saint Kitts and Nevis,6400,7800,5600,6000,8000,9200
Saint Lucia,7500,18900,22000,22000,45000,45800
Saint Vincent and the Grenadines,10000,15000,20000,20000,26000,25300
Samoa,48000,45000,35000,44000,46000,42100
Sao Tome and Principe,5300,9000,10300,35000,23000,29900
