Country,1970,1980,1990,2000,2010,2020
Afghanistan,3700000,3710000,1600000,2900000,5673000,5085807
Albania,413700,606000,632600,728000,493000,362583
Algeria,885000,1363000,1392700,1595259,1747700,1740183
Angola,2514177,3100000,3100000,4042000,4487838,5120014
Antigua and Barbuda,7800,15000,16000,13154,5000,4509
Argentina,48439648,55760496,52845000,48674400,48949744,54460799
Armenia,N/A,N/A,N/A,478730,570633,579256
Australia,22162464,26202704,23162208,27588000,26733000,23503238
Austria,2417930,2547905,2562393,2152811,2026260,1855430
Azerbaijan,N/A,N/A,N/A,1664400,2299700,2504048
Bahrain,4000,5570,13500,11000,10000,7815
Bangladesh,25686000,21556000,23244000,22310000,23051000,24391000
Barbados,20000,18000,32300,23000,11000,11986
Belarus,N/A,N/A,N/A,4326200,4151000,4292400
Belgium,N/A,N/A,N/A,3041560,2593000,2335440
Belize,36000,50000,61500,52500,92670,108306
Benin,566400,828990,1080000,1540647,2005000,2592000
Bhutan,236000,299169,392952,355437,352841,281015
Bolivia (Plurinational State of),2290800,4698700,5131659,6911930,8189786,10142680
Bosnia and Herzegovina,N/A,N/A,N/A,461928,462368,427461
Botswana,1650000,2911000,2696000,2600000,2648842,1045036
Brazil,75446704,118971424,147102320,169875524,209541109,218150298
Brunei,2500,3000,1503,1726,852,583
Bulgaria,1255481,1786823,1575107,681661,539555,588910
Burkina Faso,2550000,2760000,3860000,4798223,8398499,10312137
Burundi,685407,600000,431839,358492,596412,628022
Cambodia,2300000,772000,2181000,2992640,3484601,2804185
Cameroon,2325000,3681030,4697000,5882000,4843104,6055196
Canada,11626000,12126000,11220400,13201300,12670000,11265000
Cabo Verde,13893,11000,19191,21500,24000,29519
Central African Republic,680000,1690000,2500270,3128000,3893000,4679444
Chad,4500000,4360000,4297300,11460000,19221000,32237209
Chile,2998675,3625000,3403850,4068000,3830000,3196740
China,57500000,52411008,77769856,104396000,68739790,60975738
Colombia,20200000,23945488,24383504,24363700,27329066,28245262
Comoros,66000,70000,45000,51000,50000,50956
"Congo, Democratic Republic of the",35900,60980,70198,87000,330000,351997
Costa Rica,1496260,2181385,2201000,1358200,1350000,1427793
Croatia,N/A,N/A,N/A,426570,444000,423000
Cuba,6282400,5212500,4802600,4110200,3992500,3752400
Cyprus,40000,22300,49296,53979,54715,77500
Czechia,N/A,N/A,N/A,1573530,1349286,1340040
Côte d'Ivoire,408000,666000,1108000,1308030,1581582,1756473
Denmark,2842271,2961000,2239000,1867937,1571050,1500000
"Congo, Democratic Republic of the",994300,1152000,1534700,822355,749779,1267642
Djibouti,22000,46000,195000,297000,297000,299049
Dominica,3168,7200,13750,13400,13500,14294
Dominican Republic,1100000,1995018,2240000,2018340,2900000,3055491
Timor-Leste,67035,30700,68028,120000,161654,228458
Ecuador,2433900,3005390,4359393,4486020,5253536,4335924
Egypt,2115000,1912247,2617835,3529720,4728721,2411689
El Salvador,1241000,1210660,1219700,1050000,1247422,692966
Equatorial Guinea,3200,4200,4650,4950,5200,5450
Eritrea,N/A,N/A,N/A,2150000,2056570,2133821
Estonia,N/A,N/A,N/A,267300,234700,253300
Ethiopia,26231504,26000000,30000000,33075330,53382192,70291776
Fiji,149500,212000,273000,335000,309000,93301
Finland,1872900,1752500,1363000,1056700,925808,835380
France,21719296,23919088,21394000,21256247,19555173,17789250
Gabon,2057,4700,30877,36000,37000,39263
Georgia,N/A,N/A,N/A,1153000,1032400,869500
Germany,19457408,20645840,20287824,14657901,12809492,11301860
Ghana,903000,804000,1144787,1302000,1454000,1922000
Greece,996856,932340,653860,601933,627192,539000
Grenada,6500,6500,4100,4380,4450,4570
Guatemala,1442859,1987670,2032400,2500000,3356400,4083700
Guinea,1300000,1500000,1471946,2876189,4932851,8368000
Guinea-Bissau,230000,290000,410044,512040,641500,720752
Guyana,256800,170000,160000,125000,112800,96119
Haiti,900000,1000000,1000000,1430000,1455000,1524341
Honduras,1578354,1988176,2424000,1780000,2694881,2839055
Hungary,1932552,1925000,1597600,857000,700000,933000
Iceland,53401,57172,74889,72135,73781,80643
India,177442000,186500000,202500000,191924000,194184992,194482355
Indonesia,6137000,6440000,10410207,11008000,13581570,17466792
Iran (Islamic Republic of),5300000,5174000,7532120,8270100,7432000,5323974
Iraq,1830000,1702000,1520000,1350000,2629000,2019660
Ireland,5229000,6170900,5969100,7037400,6606600,6529440
Israel,240400,304200,342100,395000,430000,558909
Italy,9563000,8719300,8745900,7162000,6103000,6400040
Jamaica,270000,290000,380000,400000,170000,160000
Japan,3622000,4248000,4760000,4588000,4376000,3907000
Jordan,43600,28000,35000,60421,65390,77269
Kazakhstan,N/A,N/A,N/A,3998200,6095200,7850045
Kenya,8600000,10000000,13793000,11444800,17862852,21653595
Kuwait,5940,16158,21280,20555,35705,31484
Kyrgyzstan,N/A,N/A,N/A,932273,1298825,1715776
Lao People's Democratic Republic,380000,447000,841900,1157000,1474000,2188000
Latvia,N/A,N/A,N/A,378400,378200,398990
Lebanon,87000,55613,65000,77000,68568,86676
Lesotho,551522,593929,523244,709884,626343,425157
Liberia,28000,39000,38000,36000,39500,45505
Libya,107870,156000,250000,130210,195000,218262
Lithuania,N/A,N/A,N/A,897800,759400,629500
Luxembourg,N/A,N/A,N/A,205072,198892,190690
Madagascar,8781709,10201000,10254000,10364000,9881130,8948613
Malawi,491459,789529,838552,763724,1069854,1946033
Malaysia,325522,549522,667720,738783,836859,659317
Mali,5310000,5850000,4996000,5934736,8896392,12474462
Malta,8841,14210,21000,19200,14954,14010
Mauritania,1800000,1197000,1350000,1519590,1701112,1953792
Mauritius,48000,30000,30000,27000,7491,3761
Mexico,22798000,27742000,32054304,30523735,32642134,35639209
"Micronesia, Federated States of",N/A,N/A,N/A,13900,15000,18165
Mongolia,1991000,2477000,2692700,3824700,2175999,4732010
Montenegro,N/A,N/A,N/A,N/A,100835,80018
Morocco,3600000,3376200,3346258,2674600,2895800,3166900
Mozambique,1259829,1400000,920000,780000,1277044,2603581
Myanmar,6833256,8531000,9310000,10982000,13608909,18885801
Namibia,2500000,2480830,2086551,2504930,2400000,2948345
Nepal,6300000,6900000,6280852,7023166,7199260,7458885
Netherlands,3679000,5225857,4926000,4070000,3975190,3691000
New Zealand,8777332,8131214,8033976,9015000,9863972,10082788
Nicaragua,2430700,2270207,3200000,3275000,3700000,5300315
Niger,4000000,4381560,3061090,5481952,9011897,16138934
Nigeria,8887000,12108000,13947000,15118300,16577962,20744892
Macedonia,N/A,N/A,N/A,270000,259887,222202
Norway,943002,984700,953100,987915,874529,869136
Oman,69000,140589,137000,299000,332780,412948
Pakistan,14584000,15038000,17677008,22004000,34285000,49624000
Panama,1187700,1404900,1388000,1342400,1640900,1505500
Papua New Guinea,76094,129000,99000,87000,94000,92334
Paraguay,4340000,5854400,8253900,9736860,12305442,14026143
Peru,4127300,4239000,4102300,4980291,5520200,5636388
Philippines,1678700,1882860,1629230,2478850,2570900,2541959
Poland,10843500,12648608,10048929,6082549,5742094,6278900
Portugal,1259000,1324000,1392000,1421000,1447000,1691320
Qatar,5300,9870,10095,14831,11422,44718
"Korea, Republic of",1296673,1634051,2125601,2133728,3351391,3804976
"Moldova, Republic of",N/A,N/A,N/A,422969,221622,123713
Romania,4859578,6285400,6290700,3051000,2512300,1910900
