Year,series,value
1925,Average age in months when slaughtered,3.672131148
1935,Average age in months when slaughtered,3.213114754
1940,Average age in months when slaughtered,2.786885246
1945,Average age in months when slaughtered,2.754098361
1950,Average age in months when slaughtered,2.295081967
1955,Average age in months when slaughtered,2.295081967
1960,Average age in months when slaughtered,2.06557377
1965,Average age in months when slaughtered,2.06557377
1970,Average age in months when slaughtered,1.836065574
1975,Average age in months when slaughtered,1.836065574
1980,Average age in months when slaughtered,1.737704918
1985,Average age in months when slaughtered,1.606557377
1990,Average age in months when slaughtered,1.573770492
1995,Average age in months when slaughtered,1.540983607
2000,Average age in months when slaughtered,1.540983607
2005,Average age in months when slaughtered,1.573770492
2006,Average age in months when slaughtered,1.573770492
2007,Average age in months when slaughtered,1.573770492
2008,Average age in months when slaughtered,1.573770492
2009,Average age in months when slaughtered,1.540983607
2010,Average age in months when slaughtered,1.540983607
2011,Average age in months when slaughtered,1.540983607
2012,Average age in months when slaughtered,1.540983607
2013,Average age in months when slaughtered,1.540983607
2014,Average age in months when slaughtered,1.540983607
2015,Average age in months when slaughtered,1.573770492
2016,Average age in months when slaughtered,1.540983607
2017,Average age in months when slaughtered,1.540983607
2018,Average age in months when slaughtered,1.540983607
2019,Average age in months when slaughtered,1.540983607
2020,Average age in months when slaughtered,1.540983607
2021,Average age in months when slaughtered,1.540983607
1925,Average Market weight (KG),1.133980925
1935,Average Market weight (KG),1.297274178
1940,Average Market weight (KG),1.310881949
1945,Average Market weight (KG),1.374384881
1950,Average Market weight (KG),1.3970645
1955,Average Market weight (KG),1.392528576
1960,Average Market weight (KG),1.51953444
1965,Average Market weight (KG),1.578501448
1970,Average Market weight (KG),1.642004379
1975,Average Market weight (KG),1.705507311
1980,Average Market weight (KG),1.782618014
1985,Average Market weight (KG),1.90055203
1990,Average Market weight (KG),1.982198657
1995,Average Market weight (KG),2.118276368
2000,Average Market weight (KG),2.281569621
2005,Average Market weight (KG),2.435791027
2006,Average Market weight (KG),2.481150264
2007,Average Market weight (KG),2.499293959
2008,Average Market weight (KG),2.531045425
2009,Average Market weight (KG),2.535581348
2010,Average Market weight (KG),2.585476509
2011,Average Market weight (KG),2.630835746
2012,Average Market weight (KG),2.653515365
2013,Average Market weight (KG),2.68526683
2014,Average Market weight (KG),2.726090144
2015,Average Market weight (KG),2.775985304
2016,Average Market weight (KG),2.794128999
2017,Average Market weight (KG),2.812272694
2018,Average Market weight (KG),2.839488236
2019,Average Market weight (KG),2.866703778
2020,Average Market weight (KG),2.907527092
2021,Average Market weight (KG),2.93020671
1925,Feed to Meat conversion (KG of feed for 1 KG of meat),4.7
1935,Feed to Meat conversion (KG of feed for 1 KG of meat),4.4
