category,willingness,percentage
Cultivated meat,Very willing,13
Cultivated meat,Somewhat willing,21
Cultivated meat,Neither willing nor unwilling,17
Cultivated meat,Somewhat unwilling,17
Cultivated meat,Very unwilling,26
Cultivated meat,I’ve already tried this,0
Cultivated meat,Don’t know,6
edible insects,Very willing,10
edible insects,Somewhat willing,17
edible insects,Neither willing nor unwilling,12
edible insects,Somewhat unwilling,18
edible insects,Very unwilling,38
edible insects,I’ve already tried this,1
edible insects,Don’t know,3
plant based proteins,Very willing,32
plant based proteins,Somewhat willing,29
plant based proteins,Neither willing nor unwilling,13
plant based proteins,Somewhat unwilling,9
plant based proteins,Very unwilling,9
plant based proteins,I’ve already tried this,7
plant based proteins,Don’t know,3
16-24,Very willing,15
16-24,Somewhat willing,21
16-24,Neither willing nor unwilling,20
16-24,Somewhat unwilling,17
16-24,Very unwilling,19
16-24,I’ve already tried this,1
16-24,Don’t know,6
25-34,Very willing,22
25-34,Somewhat willing,24
25-34,Neither willing nor unwilling,17
25-34,Somewhat unwilling,14
25-34,Very unwilling,16
25-34,I’ve already tried this,0
25-34,Don’t know,6
35-44,Very willing,13
35-44,Somewhat willing,26
35-44,Neither willing nor unwilling,15
35-44,Somewhat unwilling,14
35-44,Very unwilling,26
35-44,I’ve already tried this,1
35-44,Don’t know,4
45-54,Very willing,12
45-54,Somewhat willing,17
45-54,Neither willing nor unwilling,18
45-54,Somewhat unwilling,18
45-54,Very unwilling,29
45-54,I’ve already tried this,0
45-54,Don’t know,1
55-75,Very willing,7
55-75,Somewhat willing,19
55-75,Neither willing nor unwilling,15
55-75,Somewhat unwilling,18
55-75,Very unwilling,33
55-75,I’ve already tried this,0
55-75,Don’t know,7
