Country,1970,1980,1990,2000,2010,2020
Afghanistan,,,,,,
Albania,116400,174300,219700,103000,164000,158401
Algeria,4000,4500,5300,5700,5500,4660
Angola,324018,600000,800000,800000,1934764,3739563
Antigua and Barbuda,3400,2800,2300,2500,5000,5260
Argentina,4400000,3800000,2400000,1750000,3179039,5376958
Armenia,,,,70556,112608,223250
Australia,2398364,2517586,2647572,2511000,2289292,2258046
Austria,3196474,4003974,3772724,3433029,3136967,2806460
Azerbaijan,,,,19690,5347,5877
Bahrain,,,,,,
Bangladesh,,,,,,
Barbados,30000,45000,28000,16500,21500,19827
Belarus,,,,3566400,3781500,2871600
Belgium,3203000,5067000,6511000,7368540,6430000,6218270
Belize,15000,16011,23816,24000,17400,25661
Benin,355650,453576,462000,255251,368000,545000
Bhutan,50900,54000,59598,41401,19711,17577
Bolivia (Plurinational State of),909000,1600600,1113083,1746200,2640616,3209604
Bosnia and Herzegovina,,,,450000,590431,546771
Botswana,8500,6000,16200,5000,3000,2464
Brazil,30846000,34183008,33623184,31562112,38956760,41124233
Brunei,12000,10500,10290,1200,1200,762
Bulgaria,1966509,3830319,4352000,1512340,729798,592100
Burkina Faso,150000,174000,545668,1417089,2167245,2505977
Burundi,16938,53000,102799,194218,244362,846948
Cambodia,23000,40000,98962,185700,100069,70206
Cameroon,1200000,132100,1515000,1933930,2057431,1901967
Canada,430000,1200000,1364000,1346000,2150000,1952770
Cabo Verde,6559000,10091000,10392400,12904400,12465000,13970000
Central African Republic,90000,230000,441502,678000,1087000,1081626
Chad,5500,8500,13830,22000,106936,111561
Chile,1025000,1068000,1250780,1567780,2706148,2713123
China,172510000,319705088,345754816,431442000,467652500,406500000
Colombia,1470000,2030000,2640000,2228000,5161804,6710666
Comoros,,,,,,
"Congo, Democratic Republic of the",37000,26410,45000,55000,88000,106383
Costa Rica,198000,223000,270000,275000,438000,395598
Croatia,,,,1233000,1230574,1033000
Cuba,1490000,1425000,1335000,1632981,1591000,1120699
Cyprus,113000,148000,280928,408409,463729,359420
Czechia,,,,3687967,1909232,1546020
Côte d'Ivoire,177000,315000,360000,284569,348590,439404
Denmark,8360575,9957000,9282000,11921573,13173060,13391000
"Congo, Democratic Republic of the",619600,685000,1050000,1048716,977379,998055
Djibouti,,,,,,
Dominica,7219,8000,4300,5000,5000,5075
Dominican Republic,714000,250000,431000,538599,660000,521333
Timor-Leste,1920000,3549000,2219768,1527114,1489761,1059842
Ecuador,202849,64000,275783,290000,330435,444897
Egypt,15000,21000,23502,29500,10500,11000
El Salvador,420700,420750,317300,300000,427000,250000
Equatorial Guinea,4100,4400,5000,6000,6400,7079
Eritrea,,,,,,
Estonia,,,,285700,365100,316600
Ethiopia,14500,18200,19000,25000,31000,36416
Fiji,38000,64000,88000,135000,145700,153849
