Country,type,1970,1980,1990,2000,2010,2020
Afghanistan,Sheep [02122],21500000,18700000,14170000,15000000,13286000,13614237
Albania,Sheep [02122],1276500,1254000,1646300,1939000,1806000,1557861
Algeria,Sheep [02122],7788000,13370000,17697270,17615928,22868770,30905560
Angola,Sheep [02122],159281,225000,240000,350000,983210,1173490
Antigua and Barbuda,Sheep [02122],8600,12000,12400,17848,14000,9710
Argentina,Sheep [02122],43000000,31000000,28571008,13561600,15024744,14571766
Armenia,Sheep [02122],,,,507603,481342,639598
Australia,Sheep [02122],180079584,135984960,170296576,118552000,68085496,63529366
Austria,Sheep [02122],121191,195413,286870,352277,344709,393760
Azerbaijan,Sheep [02122],,,,5279690,7871193,7483725
Bahrain,Sheep [02122],2000,6550,21060,23000,40000,62037
Bangladesh,Sheep [02122],490000,588000,873000,1132000,1820000,2274314
Barbados,Sheep [02122],43000,50000,7000,5650,12000,13858
Belarus,Sheep [02122],,,,91900,52400,89300
Belgium,Sheep [02122],109233,108914,174000,125639,120000,
Belize,Sheep [02122],2400,3000,1700,4200,13100,16679
Benin,Sheep [02122],580300,975751,708000,667328,808000,994000
Bhutan,Sheep [02122],9200,10000,43698,22880,12699,10793
Bolivia (Plurinational State of),Sheep [02122],6786800,9056600,6113769,7352951,8701465,7612750
Bosnia and Herzegovina,Sheep [02122],,,,584000,1046035,1014427
Botswana,Sheep [02122],320000,148500,316900,330000,279237,239740
Brazil,Sheep [02122],17773008,18381008,20014512,14784958,17380581,20628699
Brunei,Sheep [02122],,,60,2000,3800,4574
Bulgaria,Sheep [02122],9223079,10535673,8130305,2548884,1400252,1307770
Burkina Faso,Sheep [02122],1648000,3200000,4900000,6782439,8243238,10848978
Burundi,Sheep [02122],226990,316000,348000,224663,315295,746936
Cambodia,Sheep [02122],1938,1200,5544,8450,11000,18768
Cameroon,Sheep [02122],,,,,,
Canada,Sheep [02122],2000000,2160000,3500000,3753000,3739325,3633016
