Country,2020,2030,2040,2050
Afghanistan,4.52,2.4,1.44,1.14
Albania,5.74,3.23,2.08,1.54
Algeria,4.37,2.33,1.4,1.11
Andorra,5.5,2.99,1.61,1.31
Angola,4.37,2.58,1.4,1.11
Antigua and Barbuda,4.75,2.76,1.49,1.19
Argentina,4.29,2.42,1.32,1.27
Armenia,5.49,2.99,1.85,1.54
Australia,4.67,2.6,1.41,1.12
Austria,6.58,3.63,2.29,1.96
Azerbaijan,5.66,3.07,1.89,1.58
Bahrain,4.69,2.48,1.24,1.18
Bangladesh,5.55,3.02,1.86,1.55
Barbados,4.76,2.77,1.5,1.2
Belarus,5.07,3.43,2.49,2.44
Belgium,4.08,2.71,2.14,2.1
Belize,5.1,2.93,1.58,1.27
Benin,4.96,2.86,1.54,1.24
Bhutan,5.22,2.86,1.78,1.48
Bolivia (Plurinational State of),4.55,2.43,1.55,1.27
Bosnia and Herzegovina,6.21,3.33,2.13,1.59
Botswana,4.39,2.59,1.4,1.11
Brazil,4.67,2.47,1.47,1.18
Brunei,5.51,3,1.61,1.54
Bulgaria,6.25,3.35,2.14,1.83
Burkina Faso,4.83,2.8,1.51,1.21
Burundi,5.19,2.84,1.54,1.23
Cambodia,5.42,2.95,1.59,1.52
Cameroon,5.08,2.79,1.51,1.21
Canada,3.91,2.62,1.87,1.36
Cabo Verde,4.83,2.8,1.51,1.21
Central African Republic,5.01,2.76,1.49,1.19
Chad,4.21,2.26,1.13,1.07
Chile,3.68,2.13,1.06,1.01
China,4.15,2.23,1.35,1.06
Colombia,4.94,2.85,1.77,1.47
Comoros,4.93,2.6,1.54,1.24
"Congo, Democratic Republic of the",5.01,2.76,1.49,1.19
Congo,5.52,3,1.62,1.31
Costa Rica,4.92,2.84,1.53,1.23
Côte d'Ivoire,4.97,2.86,1.54,1.24
Croatia,6.18,3.32,2.13,1.58
Cuba,4.76,2.77,1.5,1.2
Cyprus,5.04,3.03,1.97,1.67
Czechia,5.39,3.58,2.57,2.52
Denmark,3.65,2.37,1.63,1.59
Djibouti,4.6,2.44,1.46,1.16
Dominica,5.18,2.96,1.6,1.29
Dominican Republic,4.63,2.7,1.46,1.17
Timor-Leste,5.09,2.8,1.51,1.45
Ecuador,5.23,2.86,1.78,1.24
Egypt,4.25,2.28,1.37,1.08
El Salvador,4.66,2.72,1.47,1.17
Equatorial Guinea,5.75,3.11,1.67,1.36
Eritrea,4.48,2.38,1.43,1.13
Estonia,4.63,3.09,2.21,2.17
Ethiopia,4.42,2.35,1.41,1.12
Fiji,5.56,3.02,1.63,1.55
Finland,6.33,4.28,3.15,2.85
France,4.48,3.02,2.18,1.9
Gabon,5.66,3.07,1.65,1.34
Georgia,5.73,3.1,1.91,1.59
Germany,4.91,3.22,2.28,2.23
Ghana,5.04,2.9,1.56,1.26
Greece,5.18,3.09,2.01,1.7
Grenada,4.72,2.75,1.48,1.19
Guatemala,4.65,2.71,1.47,1.17
Guinea,4.75,2.76,1.49,1.19
Guinea-Bissau,4.94,2.85,1.54,1.24
Guyana,5.09,2.8,1.75,1.45
Haiti,4.6,2.69,1.46,1.16
Honduras,4.66,2.72,1.47,1.17
Hungary,6.89,3.9,2.3,2.21
Iceland,2.51,1.93,1.44,1.34
India,4.39,2.59,1.64,1.11
Indonesia,5.09,2.8,1.51,1.45
Iran (Islamic Republic of),4.46,2.62,1.42,1.13
Iraq,4.54,2.66,1.44,1.15
Ireland,3.24,2.18,1.53,1.5
Israel,4.39,2.59,1.4,1.11
Italy,5.74,2.98,1.84,1.77
Jamaica,4.76,2.77,1.5,1.2
Japan,6.39,3.82,2.75,2.5
Jordan,4.31,2.55,1.39,1.1
Kazakhstan,5.54,3.01,1.86,1.55
Kenya,4.48,2.38,1.43,1.13
Kiribati,4.79,2.66,1.44,1.38
Korea (Democratic People's Republic of),6.44,3.82,2.75,2.5
"Korea, Republic of",6.44,3.82,2.75,2.5
Kosovo,6.31,3.5,2.22,1.67
Kuwait,4.79,2.53,1.27,1.2
Kyrgyzstan,4.85,2.56,1.52,1.22
Lao People's Democratic Republic,5.7,3.08,1.66,1.59
Latvia,4.72,3.13,2.24,2.19
Lebanon,4.55,2.66,1.44,1.15
Lesotho,4.46,2.62,1.42,1.13
Liberia,5.75,3.24,1.85,1.54
Libya,4.17,2.24,1.35,1.06
Liechtenstein,6.8,3.73,2.34,2.01
Lithuania,5.73,3.61,2.48,2.42
Luxembourg,4.08,2.71,2.14,2.1
Macedonia,5.99,3.35,2.14,1.59
Madagascar,4.48,2.63,1.43,1.13
Malawi,4.66,2.72,1.47,1.17
Malaysia,5.46,2.97,1.6,1.53
Maldives,5.52,2.88,1.79,1.49
Mali,4.61,2.44,1.46,1.16
Malta,5.52,2.88,1.79,1.72
Marshall Islands,5.05,2.78,1.5,1.44
Mauritania,4.53,2.65,1.44,1.14
Mauritius,4.8,2.53,1.51,1.21
Mexico,4.35,2.32,1.39,1.1
"Micronesia, Federated States of",5.51,3,1.62,1.54
Moldova,6.75,3.84,2.26,1.94
Monaco,5.68,3.07,1.89,1.82
Mongolia,4.74,2.5,1.49,1.19
Montenegro,6.27,3.36,2.15,1.6
Morocco,4.34,2.57,1.39,1.1
Mozambique,4.83,2.8,1.51,1.21
Myanmar,5.29,2.89,1.56,1.49
Namibia,4.24,2.52,1.37,1.08
Nauru,5.1,2.8,1.52,1.45
Nepal,4.21,2.01,1.13,1.07
Netherlands,3.81,2.58,1.84,1.81
New Zealand,3.71,2.4,1.64,1.61
Nicaragua,4.68,2.73,1.48,1.18
Niger,4.4,2.34,1.17,1.11
Nigeria,5.03,2.57,1.5,1.2
Norway,3.53,2.33,1.82,1.57
Oman,4.25,2.28,1.13,1.08
Pakistan,4.3,2.55,1.62,1.09
Palau,5.61,3.04,1.64,1.57
Panama,5,2.88,1.55,1.25
Papua New Guinea,5.2,2.85,1.54,1.47
Paraguay,5.45,2.97,1.83,1.53
Peru,4.27,2.03,1.37,1.09
Philippines,5.23,2.86,1.55,1.48
Poland,5.02,3.27,2.31,2.26
Portugal,4.91,2.83,1.53,1.23
Qatar,4.68,2.48,1.24,1.18
Romania,6.54,3.74,2.21,1.89
Russian Federation,3.83,2.46,1.67,1.4
Rwanda,5.35,2.92,1.58,1.27
Saint Kitts and Nevis,4.76,2.76,1.49,1.2
Saint Lucia,4.77,2.77,1.5,1.2
Saint Vincent and the Grenadines,4.77,2.77,1.5,1.2
Samoa,5.38,2.94,1.58,1.51
San Marino,6.29,3.24,1.98,1.9
Sao Tome and Principe,5.38,3.06,1.65,1.34
Saudi Arabia,4.26,2.28,1.14,1.08
Senegal,4.76,2.76,1.49,1.2
Serbia,6.71,3.82,2.25,1.93
Seychelles,5.15,2.7,1.59,1.29
Sierra Leone,5.58,3.16,1.8,1.5
Singapore,6,3.23,1.74,1.65
Slovakia,6.96,3.94,2.32,1.99
Slovenia,6.58,3.51,2.22,1.67
Solomon Islands,5.53,3,1.62,1.55
Somalia,4.42,2.32,1.41,1.12
South Africa,4.3,2.55,1.38,1.09
South Sudan,4.76,2.52,1.5,1.2
Spain,4.88,2.7,1.46,1.16
Sri Lanka,5.43,2.84,1.77,1.47
Sudan,4.32,2.31,1.39,1.1
Suriname,5.09,2.8,1.75,1.45
Swaziland,5,2.88,1.55,1.25
Sweden,5.36,3.82,2.91,2.63
Switzerland,3.53,2.33,1.82,1.57
Syrian Arab Republic,4.48,2.63,1.43,1.13
Taiwan,6.35,3.78,2.1,1.56
Tajikistan,4.49,2.39,1.43,1.14
"Tanzania, United Republic of",4.48,2.38,1.43,1.13
Thailand,5.43,2.96,1.6,1.52
The Bahamas,4.89,2.82,1.53,1.23
The Gambia,4.85,2.81,1.52,1.22
Togo,5.04,2.9,1.56,1.26
Tonga,5.53,3,1.62,1.55
Trinidad and Tobago,4.94,2.85,1.54,1.24
Tunisia,5.11,2.94,1.92,1.39
Türkiye,4.72,2.49,1.72,1.42
Turkmenistan,4.92,2.84,1.77,1.47
Tuvalu,5.46,2.97,1.6,1.53
Uganda,4.89,2.7,1.46,1.17
Ukraine,6.75,3.59,2.26,1.94
United Arab Emirates,4.61,2.44,1.22,1.16
United Kingdom,3.81,2.58,1.84,1.81
United States of America,4.35,2.57,1.63,1.1
Uruguay,5.61,2.92,1.81,1.51
