Entity,Code,Year,Annual CO2 emissions,Year,GDP,pctco2,pctgdp
France,FRA,1820,2901888,1820,56531251200,3.787878788,8.685689858
France,FRA,1821,3011808,1821,61441380352,5.231143552,-3.307225698
France,FRA,1822,3169360,1822,59409375232,0,3.862849227
France,FRA,1823,3169360,1823,61704269824,10.98265896,3.403255026
France,FRA,1824,3517440,1824,63804223488,12.5,-3.767653282
France,FRA,1825,3957120,1825,61400301568,3.333333333,3.283795103
France,FRA,1826,4089024,1826,63416561664,44.53405018,-1.535004646
France,FRA,1827,5910032,1827,62443114496,5.6416615,0.000695314
France,FRA,1828,6243456,1828,62443548672,-2.699530516,3.178260266
France,FRA,1829,6074912,1829,64428167168,7.840772014,-1.900978243
France,FRA,1830,6551232,1830,63203401728,-7.606263982,1.898808582
France,FRA,1831,6052928,1831,64403513344,10.35108959,9.083211297
France,FRA,1832,6679472,1832,70253420544,8.502468459,-1.466640593
France,FRA,1833,7247392,1833,69223055360,23.1041456,0.564905894
France,FRA,1834,8921840,1834,69614100480,3.778234086,3.786443927
France,FRA,1835,9258928,1835,72249999360,14.87930352,-1.132151418
France,FRA,1836,10636592,1836,71432019968,6.717189115,1.870459506
France,FRA,1837,11351072,1837,72768126976,4.551323434,4.937853125
France,FRA,1838,11867696,1838,76361310208,-2.500771843,-3.158629093
France,FRA,1839,11570912,1839,73949339648,1.963267891,7.41461827
France,FRA,1840,11798080,1840,79432400896,17.14285714,2.441746565
France,FRA,1841,13820608,1841,81371938816,5.116648993,-2.186578648
France,FRA,1842,14527760,1842,79592677376,0.151324086,5.343682414
France,FRA,1843,14549744,1843,83845857280,4.88541929,3.591663581
France,FRA,1844,15260560,1844,86857318400,16.8787515,-3.040640592
France,FRA,1845,17836352,1845,84216299520,3.882497946,0.233708906
France,FRA,1846,18528848,1846,84413120512,12.47775361,11.0125485
France,FRA,1847,20840832,1847,93709156352,-19.91912799,-6.146957638
France,FRA,1848,16689520,1848,87948894208,4.171240395,3.201766327
France,FRA,1849,17385680,1849,90764812288,12.8345627,1.963629124
France,FRA,1850,19617056,1850,92547096576,2.147926784,-1.49770037
France,FRA,1851,20038416,1851,91161018368,7.643079174,6.50064243
France,FRA,1852,21569968,1852,97087070208,17.47919144,-4.829156334
France,FRA,1853,25340224,1853,92398583808,15.28340081,4.822883408
France,FRA,1854,29213072,1854,96854859776,13.20706703,-1.554761047
France,FRA,1855,33071262,1855,95348998144,4.719711029,4.43761909
France,FRA,1856,34632130,1856,99580223488,1.872613668,5.715769972
France,FRA,1857,35280656,1857,1.05E+11,-1.942044388,6.978113838
France,FRA,1858,34595490,1858,1.13E+11,1.143819613,-6.484753769
France,FRA,1859,34991200,1859,1.05E+11,8.973827705,6.819541376
France,FRA,1860,38131250,1860,1.12E+11,8.157964924,-6.27305617
France,FRA,1861,41241984,1861,1.05E+11,5.534825871,8.567905918
France,FRA,1862,43524656,1862,1.14E+11,1.523697281,3.602564775
France,FRA,1863,44187840,1863,1.19E+11,5.978441128,1.163594664
France,FRA,1864,46829584,1864,1.20E+11,5.281276895,-2.809681775
France,FRA,1865,49302784,1865,1.17E+11,8.635548857,0.68091967
France,FRA,1866,53560350,1866,1.17E+11,1.340816481,-5.890920861
France,FRA,1867,54278496,1867,1.10E+11,2.308626974,9.593157442
France,FRA,1868,55531584,1868,1.21E+11,2.540248087,2.713818506
France,FRA,1869,56942224,1869,1.24E+11,-11.24767097,-7.58543057
France,FRA,1870,50537550,1870,1.15E+11,-0.5437541,-0.629915779
France,FRA,1871,50262750,1871,1.14E+11,21.21300566,9.264350506
France,FRA,1872,60924990,1872,1.25E+11,8.082762098,-6.977154167
France,FRA,1873,65849412,1873,1.16E+11,-4.868687362,12.67077856
France,FRA,1874,62643410,1874,1.31E+11,4.176174317,3.358691081
France,FRA,1875,65259508,1875,1.35E+11,0.151579445,-8.171583277
France,FRA,1876,65358428,1876,1.24E+11,-2.191940724,5.342312371
France,FRA,1877,63925810,1877,1.31E+11,2.028998929,-1.205141734
France,FRA,1878,65222864,1878,1.29E+11,3.488571124,-6.248597104
France,FRA,1879,67498210,1879,1.21E+11,12.81619172,8.923912685
France,FRA,1880,76148910,1880,1.32E+11,2.41063201,3.879241736
France,FRA,1881,77984580,1881,1.37E+11,5.544070379,4.677820665
France,FRA,1882,82308100,1882,1.43E+11,4.874465575,0.342947958
France,FRA,1883,86320180,1883,1.44E+11,-3.947535791,-1.143420815
France,FRA,1884,82912660,1884,1.42E+11,-3.857890942,-1.77572589
France,FRA,1885,79713980,1885,1.40E+11,-0.804375845,1.683347522
France,FRA,1886,79072780,1886,1.42E+11,5.333402974,0.610691319
France,FRA,1887,83290050,1887,1.43E+11,4.038357523,0.971315087
France,FRA,1888,86653600,1888,1.44E+11,2.473572939,2.53755428
France,FRA,1889,88797040,1889,1.48E+11,10.1588634,2.349127014
France,FRA,1890,97817810,1890,1.52E+11,0.168558262,2.297189391
France,FRA,1891,97982690,1891,1.55E+11,0.142096527,2.527513644
France,FRA,1892,98121920,1892,1.59E+11,-1.825993621,1.739737749
France,FRA,1893,96330220,1893,1.62E+11,5.781446362,3.696419847
France,FRA,1894,101899500,1894,1.68E+11,0.85937615,-2.071281177
France,FRA,1895,102775200,1895,1.64E+11,3.411766652,4.76306478
France,FRA,1896,106281650,1896,1.72E+11,4.685070283,-1.324249224
France,FRA,1897,111261020,1897,1.70E+11,3.401838308,4.887948911
France,FRA,1898,115045940,1898,1.78E+11,4.567019053,5.668357288
France,FRA,1899,120300110,1899,1.88E+11,7.462013127,-1.08008696
France,FRA,1900,129276920,1900,1.86E+11,-3.304712086,-1.621700045
France,FRA,1901,125004690,1901,1.83E+11,-5.873907611,-1.643516875
France,FRA,1902,117662030,1902,1.80E+11,9.927442183,2.217421727
France,FRA,1903,129342860,1903,1.84E+11,-2.586327533,0.733971869
France,FRA,1904,125997630,1904,1.85E+11,1.13411657,1.730144862
France,FRA,1905,127426590,1905,1.89E+11,7.174075678,1.820003605
France,FRA,1906,136568270,1906,1.92E+11,6.610686362,4.327316085
France,FRA,1907,145596370,1907,2.00E+11,0.767546608,-0.56545391
France,FRA,1908,146713890,1908,1.99E+11,2.305078272,4.1563565
France,FRA,1909,150095760,1909,2.08E+11,0.3441936,-6.116577839
France,FRA,1910,150612380,1910,1.95E+11,4.179443947,9.826767612
France,FRA,1911,156907140,1911,2.14E+11,1.064820887,8.263775296
France,FRA,1912,158577920,1912,2.32E+11,7.904341285,-0.571978658
France,FRA,1913,171112460,1913,2.30E+11,-30.83445823,-7.117706565
France,FRA,1914,118350860,1914,2.14E+11,-12.77359539,-2.039423558
France,FRA,1915,103233200,1915,2.10E+11,6.253773011,5.05320418
France,FRA,1916,109689170,1916,2.20E+11,10.86281353,-15.27116642
France,FRA,1917,121604500,1917,1.87E+11,-10.81683655,-21.09317623
France,FRA,1918,108450740,1918,1.47E+11,7.091449998,17.81550628
France,FRA,1919,116141470,1919,1.73E+11,30.68332956,15.68549433
France,FRA,1920,151777540,1920,2.01E+11,-9.1372149,-4.137755712
France,FRA,1921,137909300,1921,1.92E+11,18.30282657,17.94347815
France,FRA,1922,163150600,1922,2.27E+11,12.89525138,5.210670876
