Country Name,Code,Year,Renewables (% equivalent primary energy),WBGDPperCap2019USD
Algeria,DZA,2019,0.294746965,3989.668276
Argentina,ARG,2019,11.92677212,10076.35524
Australia,AUS,2019,8.880722046,54875.28596
Austria,AUT,2019,35.61137772,50114.40111
Azerbaijan,AZE,2019,2.674583912,4805.753718
Bangladesh,BGD,2019,0.675128698,2154.226819
Belarus,BLR,2019,0.707769632,6837.717826
Belgium,BEL,2019,7.959382057,46599.11134
Brazil,BRA,2019,47.3048439,8876.059836
Bulgaria,BGR,2019,9.948385239,9879.268533
Canada,CAN,2019,28.58637619,46328.67184
Chile,CHL,2019,24.14499474,14699.46278
China,CHN,2019,13.51595974,10143.8382
Colombia,COL,2019,29.89034271,6418.615783
Croatia,HRV,2019,23.46309662,15311.7669
Cyprus,CYP,2019,4.2749753,29206.07617
Czechia,CZE,2019,6.11521244,23660.14881
Denmark,DNK,2019,32.79565811,59775.7351
Ecuador,ECU,2019,31.76902008,6222.524653
Egypt,EGY,2019,5.169897556,3019.092283
Estonia,EST,2019,9.912989616,23397.87826
Finland,FIN,2019,29.21456146,48628.64176
France,FRA,2019,12.38490486,40578.64429
Germany,DEU,2019,18.76830482,46794.89929
Greece,GRC,2019,13.69419384,19133.75776
"Hong Kong SAR, China",HKG,2019,0.074603871,48356.0635
Hungary,HUN,2019,4.945461273,16735.65978
Iceland,ISL,2019,80.09719086,68941.46223
India,IND,2019,8.849618912,2072.244897
Indonesia,IDN,2019,7.870308876,4135.233344
Iran,IRN,2019,2.836829901,3514.042168
Iraq,IRQ,2019,2.277288198,5943.458455
Ireland,IRL,2019,16.91117668,80886.61574
Israel,ISR,2019,2.919206858,43951.24773
Italy,ITA,2019,17.93995094,33673.47545
Japan,JPN,2019,9.565926552,40458.00188
Kazakhstan,KAZ,2019,3.468928099,9812.595808
Kuwait,KWT,2019,0.034184188,32373.25111
Latvia,LVA,2019,19.92988014,17926.84159
Lithuania,LTU,2019,9.697965622,19575.76848
Luxembourg,LUX,2019,4.765342712,113218.7133
Malaysia,MYS,2019,6.178408623,11432.82603
Mexico,MEX,2019,7.05077076,9950.217622
Morocco,MAR,2019,7.547047138,3235.000732
Netherlands,NLD,2019,7.302987576,52476.27325
New Zealand,NZL,2019,36.76237869,42865.23364
North Macedonia,MKD,2019,11.50486469,6070.388054
Norway,NOR,2019,67.08509064,75719.7529
Oman,OMN,2019,0.017586906,17700.70349
Pakistan,PAK,2019,11.01573753,1481.813864
Peru,PER,2019,26.62133598,7023.077526
Philippines,PHL,2019,10.22724819,3485.340844
Poland,POL,2019,6.9892869,15732.20313
Portugal,PRT,2019,26.4018116,23330.81729
Qatar,QAT,2019,0.066419169,62087.97413
Romania,ROU,2019,16.83794785,12899.34611
Russian Federation,RUS,2019,6.201229095,11536.25098
Saudi Arabia,SAU,2019,0.018180711,23450.56202
Singapore,SGP,2019,0.299542904,65831.18943
Slovak Republic,SVK,2019,9.983878136,19303.54566
Slovenia,SVN,2019,16.78137016,25942.95477
South Africa,ZAF,2019,2.644936323,6624.761865
"Korea, Rep.",KOR,2019,2.980033398,31902.4169
Spain,ESP,2019,17.37585068,29554.49052
Sri Lanka,LKA,2019,14.1411562,3848.212376
Sweden,SWE,2019,43.81376648,51939.42974
Switzerland,CHE,2019,33.13739777,85334.51946
Thailand,THA,2019,6.956219673,7814.384431
Trinidad and Tobago,TTO,2019,0.006373613,17123.11629
Turkiye,TUR,2019,19.25493622,9121.515167
Turkmenistan,TKM,2019,0.006747688,7612.03518
Ukraine,UKR,2019,3.290361166,3661.456299
United Arab Emirates,ARE,2019,0.791825354,42701.44305
United Kingdom,GBR,2019,16.24154091,43070.49836
United States,USA,2019,9.315262794,65094.79943
Uzbekistan,UZB,2019,3.19703269,1784.009816
Vietnam,VNM,2019,15.89113903,3425.089253
